,user,repo,star,link
0,ohmyzsh,ohmyzsh,163000,https://github.com/ohmyzsh/ohmyzsh
1,microsoft,terminal,90400,https://github.com/microsoft/terminal
2,Eugeny,tabby,50800,https://github.com/Eugeny/tabby
3,alacritty,alacritty,48700,https://github.com/alacritty/alacritty
4,tldr-pages,tldr,45500,https://github.com/tldr-pages/tldr
5,Textualize,rich,44800,https://github.com/Textualize/rich
6,sharkdp,bat,43100,https://github.com/sharkdp/bat
7,vercel,hyper,41500,https://github.com/vercel/hyper
8,jesseduffield,lazygit,39000,https://github.com/jesseduffield/lazygit
9,GitSquared,edex-ui,38400,https://github.com/GitSquared/edex-ui
10,chubin,cheat.sh,36100,https://github.com/chubin/cheat.sh
11,httpie,cli,29300,https://github.com/httpie/cli
12,sharkdp,fd,28900,https://github.com/sharkdp/fd
13,ibraheemdev,modern-unix,27900,https://github.com/ibraheemdev/modern-unix
14,herrbischoff,awesome-macos-command-line,27800,https://github.com/herrbischoff/awesome-macos-command-line
15,tqdm,tqdm,25800,https://github.com/tqdm/tqdm
16,termux,termux-app,24900,https://github.com/termux/termux-app
17,nicolargo,glances,23500,https://github.com/nicolargo/glances
18,mbadolato,iTerm2-Color-Schemes,23500,https://github.com/mbadolato/iTerm2-Color-Schemes
19,withfig,autocomplete,23000,https://github.com/withfig/autocomplete
