,user,repo,star,link
0,bregman-arie,devops-exercises,58200,https://github.com/bregman-arie/devops-exercises
1,hashicorp,terraform,38900,https://github.com/hashicorp/terraform
2,MichaelCade,90DaysOfDevOps,23900,https://github.com/MichaelCade/90DaysOfDevOps
3,GoogleCloudPlatform,microservices-demo,14800,https://github.com/GoogleCloudPlatform/microservices-demo
4,GoogleCloudPlatform,terraformer,10800,https://github.com/GoogleCloudPlatform/terraformer
5,infracost,infracost,9600,https://github.com/infracost/infracost
6,hashicorp,terraform-provider-aws,8900,https://github.com/hashicorp/terraform-provider-aws
7,khuedoan,homelab,7200,https://github.com/khuedoan/homelab
8,gruntwork-io,terragrunt,7200,https://github.com/gruntwork-io/terragrunt
9,gruntwork-io,terratest,7100,https://github.com/gruntwork-io/terratest
10,runatlantis,atlantis,6500,https://github.com/runatlantis/atlantis
11,aquasecurity,tfsec,6300,https://github.com/aquasecurity/tfsec
12,budtmo,docker-android,6100,https://github.com/budtmo/docker-android
13,bridgecrewio,checkov,5900,https://github.com/bridgecrewio/checkov
14,turbot,steampipe,5600,https://github.com/turbot/steampipe
15,hobby-kube,guide,5400,https://github.com/hobby-kube/guide
16,coder,coder,5300,https://github.com/coder/coder
17,KubeOperator,KubeOperator,4800,https://github.com/KubeOperator/KubeOperator
18,shuaibiyy,awesome-terraform,4700,https://github.com/shuaibiyy/awesome-terraform
19,hashicorp,terraform-cdk,4500,https://github.com/hashicorp/terraform-cdk
