,user,repo,star,link
0,JuliaLang,julia,43200,https://github.com/JuliaLang/julia
1,plotly,dash,19400,https://github.com/plotly/dash
2,nteract,papermill,5400,https://github.com/nteract/papermill
3,fonsp,Pluto.jl,4600,https://github.com/fonsp/Pluto.jl
4,multiprocessio,datastation,2800,https://github.com/multiprocessio/datastation
5,SciML,DifferentialEquations.jl,2600,https://github.com/SciML/DifferentialEquations.jl
6,grame-cncm,faust,2300,https://github.com/grame-cncm/faust
7,szcf-weiya,ESL-CN,2200,https://github.com/szcf-weiya/ESL-CN
8,MakieOrg,Makie.jl,2100,https://github.com/MakieOrg/Makie.jl
9,GenieFramework,Genie.jl,2100,https://github.com/GenieFramework/Genie.jl
10,jump-dev,JuMP.jl,2000,https://github.com/jump-dev/JuMP.jl
11,GiovineItalia,Gadfly.jl,1900,https://github.com/GiovineItalia/Gadfly.jl
12,JuliaPlots,Plots.jl,1700,https://github.com/JuliaPlots/Plots.jl
13,alan-turing-institute,MLJ.jl,1600,https://github.com/alan-turing-institute/MLJ.jl
14,JuliaData,DataFrames.jl,1600,https://github.com/JuliaData/DataFrames.jl
15,denizyuret,Knet.jl,1400,https://github.com/denizyuret/Knet.jl
16,MilesCranmer,PySR,1400,https://github.com/MilesCranmer/PySR
17,FluxML,Zygote.jl,1400,https://github.com/FluxML/Zygote.jl
18,JuliaPy,PyCall.jl,1400,https://github.com/JuliaPy/PyCall.jl
19,svaksha,Julia.jl,1400,https://github.com/svaksha/Julia.jl
