,user,repo,star,link
0,microsoft,vscode,151000,https://github.com/microsoft/vscode
1,microsoft,TypeScript,94300,https://github.com/microsoft/TypeScript
2,denoland,deno,90900,https://github.com/denoland/deno
3,angular,angular,90400,https://github.com/angular/angular
4,mui,material-ui,88900,https://github.com/mui/material-ui
5,ant-design,ant-design,87600,https://github.com/ant-design/ant-design
6,storybookjs,storybook,80400,https://github.com/storybookjs/storybook
7,oven-sh,bun,62800,https://github.com/oven-sh/bun
8,mermaid-js,mermaid,61200,https://github.com/mermaid-js/mermaid
9,nestjs,nest,59800,https://github.com/nestjs/nest
10,enaqx,awesome-react,58300,https://github.com/enaqx/awesome-react
11,strapi,strapi,56200,https://github.com/strapi/strapi
12,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
13,prettier,prettier,46700,https://github.com/prettier/prettier
14,DefinitelyTyped,DefinitelyTyped,45300,https://github.com/DefinitelyTyped/DefinitelyTyped
15,typescript-cheatsheets,react,42300,https://github.com/typescript-cheatsheets/react
16,Asabeneh,30-Days-Of-JavaScript,38500,https://github.com/Asabeneh/30-Days-Of-JavaScript
17,vuetifyjs,vuetify,38000,https://github.com/vuetifyjs/vuetify
18,react-hook-form,react-hook-form,36900,https://github.com/react-hook-form/react-hook-form
19,type-challenges,type-challenges,36500,https://github.com/type-challenges/type-challenges
