,user,repo,star,link
0,hashicorp,vagrant,25400,https://github.com/hashicorp/vagrant
1,geerlingguy,ansible-for-devops,7500,https://github.com/geerlingguy/ansible-for-devops
2,Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
3,clong,DetectionLab,4300,https://github.com/clong/DetectionLab
4,chef,bento,4100,https://github.com/chef/bento
5,ChristianLempa,boilerplates,2900,https://github.com/ChristianLempa/boilerplates
6,ServiceStack,redis-windows,2700,https://github.com/ServiceStack/redis-windows
7,roots,trellis,2400,https://github.com/roots/trellis
8,vagrant-libvirt,vagrant-libvirt,2200,https://github.com/vagrant-libvirt/vagrant-libvirt
9,Artemmkin,infrastructure-as-code-tutorial,2200,https://github.com/Artemmkin/infrastructure-as-code-tutorial
10,leucos,ansible-tuto,2200,https://github.com/leucos/ansible-tuto
11,ianmiell,shutit,2100,https://github.com/ianmiell/shutit
12,geerlingguy,ansible-vagrant-examples,2000,https://github.com/geerlingguy/ansible-vagrant-examples
13,rootsongjc,kubernetes-vagrant-centos-cluster,1900,https://github.com/rootsongjc/kubernetes-vagrant-centos-cluster
14,magma,magma,1600,https://github.com/magma/magma
15,scottslowe,learning-tools,1500,https://github.com/scottslowe/learning-tools
16,geerlingguy,drupal-vm,1400,https://github.com/geerlingguy/drupal-vm
17,StefanScherer,packer-windows,1200,https://github.com/StefanScherer/packer-windows
18,timsutton,osx-vm-templates,1100,https://github.com/timsutton/osx-vm-templates
19,hypriot,image-builder-rpi,1100,https://github.com/hypriot/image-builder-rpi
