,user,repo,star,link
0,neovim,neovim,69700,https://github.com/neovim/neovim
1,junegunn,fzf,54500,https://github.com/junegunn/fzf
2,LeCoupa,awesome-cheatsheets,34600,https://github.com/LeCoupa/awesome-cheatsheets
3,vim,vim,32900,https://github.com/vim/vim
4,junegunn,vim-plug,32000,https://github.com/junegunn/vim-plug
5,lapce,lapce,27800,https://github.com/lapce/lapce
6,ycm-core,YouCompleteMe,25000,https://github.com/ycm-core/YouCompleteMe
7,helix-editor,helix,24900,https://github.com/helix-editor/helix
8,neoclide,coc.nvim,23300,https://github.com/neoclide/coc.nvim
9,syl20bnr,spacemacs,23200,https://github.com/syl20bnr/spacemacs
10,SpaceVim,SpaceVim,20100,https://github.com/SpaceVim/SpaceVim
11,NvChad,NvChad,19400,https://github.com/NvChad/NvChad
12,preservim,nerdtree,18800,https://github.com/preservim/nerdtree
13,doomemacs,doomemacs,17500,https://github.com/doomemacs/doomemacs
14,vim-airline,vim-airline,17400,https://github.com/vim-airline/vim-airline
15,jarun,nnn,17100,https://github.com/jarun/nnn
16,LunarVim,LunarVim,15900,https://github.com/LunarVim/LunarVim
17,mhinz,vim-galore,15800,https://github.com/mhinz/vim-galore
18,fatih,vim-go,15600,https://github.com/fatih/vim-go
19,ranger,ranger,14000,https://github.com/ranger/ranger
