,user,repo,star,link
0,mrdoob,three.js,94600.0,https://github.com/mrdoob/three.js
1,aframevr,aframe,15700.0,https://github.com/aframevr/aframe
2,bulletphysics,bullet3,11100.0,https://github.com/bulletphysics/bullet3
3,playcanvas,engine,8600.0,https://github.com/playcanvas/engine
4,relativty,Relativty,6100.0,https://github.com/relativty/Relativty
5,ExtendRealityLtd,VRTK,3600.0,https://github.com/ExtendRealityLtd/VRTK
6,immersive-web,webxr,2800.0,https://github.com/immersive-web/webxr
7,viromedia,viro,2100.0,https://github.com/viromedia/viro
8,praydog,REFramework,2000.0,https://github.com/praydog/REFramework
9,widgetti,ipyvolume,1900.0,https://github.com/widgetti/ipyvolume
10,bjornbytes,lovr,1600.0,https://github.com/bjornbytes/lovr
11,letoram,arcan,1400.0,https://github.com/letoram/arcan
12,supermedium,aframe-react,1400.0,https://github.com/supermedium/aframe-react
13,aframevr,awesome-aframe,1300.0,https://github.com/aframevr/awesome-aframe
14,the3deer,android-3D-model-viewer,1300.0,https://github.com/the3deer/android-3D-model-viewer
15,supermedium,superframe,1300.0,https://github.com/supermedium/superframe
16,networked-aframe,networked-aframe,1100.0,https://github.com/networked-aframe/networked-aframe
17,AsPJT,DungeonTemplateLibrary,1100.0,https://github.com/AsPJT/DungeonTemplateLibrary
18,exokitxr,exokit,,https://github.com/exokitxr/exokit
19,reinterpretcat,utymap,,https://github.com/reinterpretcat/utymap
