,user,repo,star,link
0,wagtail,wagtail,15600.0,https://github.com/wagtail/wagtail
1,springload,awesome-wagtail,1800.0,https://github.com/springload/awesome-wagtail
2,wagtail,bakerydemo,,https://github.com/wagtail/bakerydemo
3,coderedcorp,coderedcms,,https://github.com/coderedcorp/coderedcms
4,springload,draftail,,https://github.com/springload/draftail
5,APSL,puput,,https://github.com/APSL/puput
6,longclawshop,longclaw,,https://github.com/longclawshop/longclaw
7,jazzband,wagtailmenus,,https://github.com/jazzband/wagtailmenus
8,AccordBox,wagtail-tailwind-blog,,https://github.com/AccordBox/wagtail-tailwind-blog
9,dinoperovic,django-salesman,,https://github.com/dinoperovic/django-salesman
10,wagtail-deprecated,wagtaildemo,,https://github.com/wagtail-deprecated/wagtaildemo
11,cfpb,consumerfinance.gov,,https://github.com/cfpb/consumerfinance.gov
12,tomdyson,wagalytics,,https://github.com/tomdyson/wagalytics
13,torchbox,wagtailmedia,,https://github.com/torchbox/wagtailmedia
14,Frojd,Wagtail-Pipit,,https://github.com/Frojd/Wagtail-Pipit
15,wagtail,wagtail-localize,,https://github.com/wagtail/wagtail-localize
16,torchbox,wagtail-markdown,,https://github.com/torchbox/wagtail-markdown
17,wagtail-nest,wagtail-bakery,,https://github.com/wagtail-nest/wagtail-bakery
18,torchbox,wagtail-grapple,,https://github.com/torchbox/wagtail-grapple
19,Frojd,wagtail-geo-widget,,https://github.com/Frojd/wagtail-geo-widget
