,user,repo,star,link
0,donnemartin,system-design-primer,230000,https://github.com/donnemartin/system-design-primer
1,louislam,uptime-kuma,38700,https://github.com/louislam/uptime-kuma
2,tipsy,profile-summary-for-github,19800,https://github.com/tipsy/profile-summary-for-github
3,dexteryy,spellbook-of-modern-webdev,16400,https://github.com/dexteryy/spellbook-of-modern-webdev
4,dailydotdev,daily,14100,https://github.com/dailydotdev/daily
5,mickael-kerjean,filestash,8400,https://github.com/mickael-kerjean/filestash
6,zauberzeug,nicegui,5400,https://github.com/zauberzeug/nicegui
7,H-M-H,Weylus,5300,https://github.com/H-M-H/Weylus
8,jagenjo,webglstudio.js,5000,https://github.com/jagenjo/webglstudio.js
9,miguelgrinberg,microblog,4300,https://github.com/miguelgrinberg/microblog
10,h2oai,wave,3700,https://github.com/h2oai/wave
11,toolswatch,blackhat-arsenal-tools,3500,https://github.com/toolswatch/blackhat-arsenal-tools
12,nisrulz,app-privacy-policy-generator,3500,https://github.com/nisrulz/app-privacy-policy-generator
13,didi,mpx,3400,https://github.com/didi/mpx
14,shadowwalker,next-pwa,3300,https://github.com/shadowwalker/next-pwa
15,tiangolo,uwsgi-nginx-flask-docker,2900,https://github.com/tiangolo/uwsgi-nginx-flask-docker
16,ulisesbocchio,jasypt-spring-boot,2600,https://github.com/ulisesbocchio/jasypt-spring-boot
17,dbeaver,cloudbeaver,2500,https://github.com/dbeaver/cloudbeaver
18,jkbrzt,cloudtunes,2500,https://github.com/jkbrzt/cloudtunes
19,MarnoDev,react-native-open-project,2400,https://github.com/MarnoDev/react-native-open-project
