,user,repo,star,link
0,PanJiaChen,vue-element-admin,84100,https://github.com/PanJiaChen/vue-element-admin
1,storybookjs,storybook,80400,https://github.com/storybookjs/storybook
2,webpack,webpack,63500,https://github.com/webpack/webpack
3,bailicangdu,vue2-elm,40400,https://github.com/bailicangdu/vue2-elm
4,akveo,ngx-admin,24700,https://github.com/akveo/ngx-admin
5,vercel,turbo,22900,https://github.com/vercel/turbo
6,markerikson,react-redux-links,22300,https://github.com/markerikson/react-redux-links
7,electron-react-boilerplate,electron-react-boilerplate,21900,https://github.com/electron-react-boilerplate/electron-react-boilerplate
8,jhipster,generator-jhipster,20900,https://github.com/jhipster/generator-jhipster
9,verekia,js-stack-from-scratch,20000,https://github.com/verekia/js-stack-from-scratch
10,mojs,mojs,18100,https://github.com/mojs/mojs
11,alibaba,ice,17700,https://github.com/alibaba/ice
12,jamiebuilds,react-loadable,16600,https://github.com/jamiebuilds/react-loadable
13,SimulatedGREG,electron-vue,15400,https://github.com/SimulatedGREG/electron-vue
14,grab,front-end-guide,15000,https://github.com/grab/front-end-guide
15,FormidableLabs,webpack-dashboard,13900,https://github.com/FormidableLabs/webpack-dashboard
16,bailicangdu,vue2-manage,13000,https://github.com/bailicangdu/vue2-manage
17,webpack-contrib,webpack-bundle-analyzer,12400,https://github.com/webpack-contrib/webpack-bundle-analyzer
18,jaredpalmer,razzle,11100,https://github.com/jaredpalmer/razzle
19,jantimon,html-webpack-plugin,10500,https://github.com/jantimon/html-webpack-plugin
