,user,repo,star,link
0,flutter,flutter,157000,https://github.com/flutter/flutter
1,jlevy,the-art-of-command-line,140000,https://github.com/jlevy/the-art-of-command-line
2,nodejs,node,98000,https://github.com/nodejs/node
3,microsoft,PowerToys,95600,https://github.com/microsoft/PowerToys
4,microsoft,terminal,90400,https://github.com/microsoft/terminal
5,atom,atom,59600,https://github.com/atom/atom
6,ventoy,Ventoy,52900,https://github.com/ventoy/Ventoy
7,alacritty,alacritty,48700,https://github.com/alacritty/alacritty
8,2dust,v2rayN,47300,https://github.com/2dust/v2rayN
9,sherlock-project,sherlock,43400,https://github.com/sherlock-project/sherlock
10,massgravel,Microsoft-Activation-Scripts,42900,https://github.com/massgravel/Microsoft-Activation-Scripts
11,FiloSottile,mkcert,42800,https://github.com/FiloSottile/mkcert
12,x64dbg,x64dbg,41600,https://github.com/x64dbg/x64dbg
13,marktext,marktext,41500,https://github.com/marktext/marktext
14,lencx,ChatGPT,41300,https://github.com/lencx/ChatGPT
15,PowerShell,PowerShell,40900,https://github.com/PowerShell/PowerShell
16,agalwood,Motrix,40200,https://github.com/agalwood/Motrix
17,GitSquared,edex-ui,38400,https://github.com/GitSquared/edex-ui
18,nativefier,nativefier,34300,https://github.com/nativefier/nativefier
19,coreybutler,nvm-windows,30500,https://github.com/coreybutler/nvm-windows
