,user,repo,star,link
0,vinkla,wordplate,2000.0,https://github.com/vinkla/wordplate
1,wordplate,plate,,https://github.com/wordplate/plate
2,wordplate,framework,,https://github.com/wordplate/framework
3,fiskhandlarn,blade,,https://github.com/fiskhandlarn/blade
4,wordplate,mail,,https://github.com/wordplate/mail
5,Levdbas,BasePlate,,https://github.com/Levdbas/BasePlate
6,wordplate,wordplate.github.io,,https://github.com/wordplate/wordplate.github.io
7,neone35,plumber123,,https://github.com/neone35/plumber123
8,b4nghh,wordplate-boilerplate,,https://github.com/b4nghh/wordplate-boilerplate
9,Influactive360,wordplate,,https://github.com/Influactive360/wordplate
10,hoymultimedia,polylang,,https://github.com/hoymultimedia/polylang
11,antoinegreuzard,wordplate-vite.config.js,,https://github.com/antoinegreuzard/wordplate-vite.config.js
