,user,repo,star,link
0,digitalocean,nginxconfig.io,26200,https://github.com/digitalocean/nginxconfig.io
1,benweet,stackedit,20700,https://github.com/benweet/stackedit
2,Automattic,wp-calypso,12300,https://github.com/Automattic/wp-calypso
3,roots,sage,12300,https://github.com/roots/sage
4,WordPress,gutenberg,9100,https://github.com/WordPress/gutenberg
5,woocommerce,woocommerce,8700,https://github.com/woocommerce/woocommerce
6,wpscanteam,wpscan,7800,https://github.com/wpscanteam/wpscan
7,roots,bedrock,5900,https://github.com/roots/bedrock
8,timber,timber,5300,https://github.com/timber/timber
9,wp-cli,wp-cli,4700,https://github.com/wp-cli/wp-cli
10,Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
11,postlight,headless-wp-starter,4400,https://github.com/postlight/headless-wp-starter
12,corcel,corcel,4100,https://github.com/corcel/corcel
13,lando,lando,3800,https://github.com/lando/lando
14,solstice23,argon-theme,3800,https://github.com/solstice23/argon-theme
15,wordpress-mobile,WordPress-iOS,3600,https://github.com/wordpress-mobile/WordPress-iOS
16,wp-graphql,wp-graphql,3500,https://github.com/wp-graphql/wp-graphql
17,wp-bootstrap,wp-bootstrap-navwalker,3400,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
18,mashirozx,sakura,3200,https://github.com/mashirozx/sakura
19,ahmadawais,create-guten-block,3200,https://github.com/ahmadawais/create-guten-block
