,user,repo,star,link
0,SheetJS,sheetjs,33600,https://github.com/SheetJS/sheetjs
1,xbmc,xbmc,16300,https://github.com/xbmc/xbmc
2,qax-os,excelize,16000,https://github.com/qax-os/excelize
3,troyeguo,koodo-reader,12100,https://github.com/troyeguo/koodo-reader
4,jhy,jsoup,10300,https://github.com/jhy/jsoup
5,mikefarah,yq,9400,https://github.com/mikefarah/yq
6,wader,fq,8900,https://github.com/wader/fq
7,reactiveui,refit,7500,https://github.com/reactiveui/refit
8,pocoproject,poco,7300,https://github.com/pocoproject/poco
9,dbohdan,structured-text-tools,6800,https://github.com/dbohdan/structured-text-tools
10,rest-assured,rest-assured,6500,https://github.com/rest-assured/rest-assured
11,sparklemotion,nokogiri,6100,https://github.com/sparklemotion/nokogiri
12,mledoze,countries,5800,https://github.com/mledoze/countries
13,wiremock,wiremock,5700,https://github.com/wiremock/wiremock
14,dr5hn,countries-states-cities-database,5500,https://github.com/dr5hn/countries-states-cities-database
15,ServiceStack,ServiceStack,5300,https://github.com/ServiceStack/ServiceStack
16,theseer,tokenizer,5100,https://github.com/theseer/tokenizer
17,Leonidas-from-XIV,node-xml2js,4700,https://github.com/Leonidas-from-XIV/node-xml2js
18,TomWright,dasel,4500,https://github.com/TomWright/dasel
19,tboox,tbox,4500,https://github.com/tboox/tbox
