,user,repo,star,link
0,dotnet-architecture,eShopOnContainers,24400,https://github.com/dotnet-architecture/eShopOnContainers
1,AvaloniaUI,Avalonia,19700,https://github.com/AvaloniaUI/Avalonia
2,mono,mono,10600,https://github.com/mono/mono
3,unoplatform,uno,7900,https://github.com/unoplatform/uno
4,reactiveui,ReactiveUI,7600,https://github.com/reactiveui/ReactiveUI
5,reactiveui,refit,7500,https://github.com/reactiveui/refit
6,NLog,NLog,6000,https://github.com/NLog/NLog
7,xamarin,Xamarin.Forms,5700,https://github.com/xamarin/Xamarin.Forms
8,bitwarden,mobile,5000,https://github.com/bitwarden/mobile
9,MessagePack-CSharp,MessagePack-CSharp,4900,https://github.com/MessagePack-CSharp/MessagePack-CSharp
10,xamarin,xamarin-forms-samples,4300,https://github.com/xamarin/xamarin-forms-samples
11,MvvmCross,MvvmCross,3800,https://github.com/MvvmCross/MvvmCross
12,mono,SkiaSharp,3600,https://github.com/mono/SkiaSharp
13,beto-rodriguez,LiveCharts2,3300,https://github.com/beto-rodriguez/LiveCharts2
14,migueldeicaza,TensorFlowSharp,3100,https://github.com/migueldeicaza/TensorFlowSharp
15,mono,CppSharp,2800,https://github.com/mono/CppSharp
16,Caliburn-Micro,Caliburn.Micro,2700,https://github.com/Caliburn-Micro/Caliburn.Micro
17,jsuarezruiz,xamarin-forms-goodlooking-UI,2600,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
18,reactiveui,Akavache,2400,https://github.com/reactiveui/Akavache
19,xamarin,xamarin-macios,2300,https://github.com/xamarin/xamarin-macios
