,user,repo,star,link
0,flutter,flutter,157000,https://github.com/flutter/flutter
1,facebook,react-native,112000,https://github.com/facebook/react-native
2,justjavac,free-programming-books-zh_CN,105000,https://github.com/justjavac/free-programming-books-zh_CN
3,ionic-team,ionic-framework,49500,https://github.com/ionic-team/ionic-framework
4,google,material-design-icons,48700,https://github.com/google/material-design-icons
5,Solido,awesome-flutter,48600,https://github.com/Solido/awesome-flutter
6,vsouza,awesome-ios,44000,https://github.com/vsouza/awesome-ios
7,FiloSottile,mkcert,42800,https://github.com/FiloSottile/mkcert
8,ultralytics,yolov5,41800,https://github.com/ultralytics/yolov5
9,dcloudio,uni-app,38600,https://github.com/dcloudio/uni-app
10,fastlane,fastlane,37600,https://github.com/fastlane/fastlane
11,dkhamsing,open-source-ios-apps,36500,https://github.com/dkhamsing/open-source-ios-apps
12,SheetJS,sheetjs,33600,https://github.com/SheetJS/sheetjs
13,appwrite,appwrite,33200,https://github.com/appwrite/appwrite
14,xitu,gold-miner,32800,https://github.com/xitu/gold-miner
15,bilibili,ijkplayer,31700,https://github.com/bilibili/ijkplayer
16,SDWebImage,SDWebImage,24700,https://github.com/SDWebImage/SDWebImage
17,airbnb,lottie-ios,24500,https://github.com/airbnb/lottie-ios
18,quasarframework,quasar,24300,https://github.com/quasarframework/quasar
19,react-native-elements,react-native-elements,24000,https://github.com/react-native-elements/react-native-elements
