,user,repo,star,link
0,jquery,jquery,57800,https://github.com/jquery/jquery
1,alvarotrigo,fullPage.js,34700,https://github.com/alvarotrigo/fullPage.js
2,NervJS,taro,33600,https://github.com/NervJS/taro
3,cheeriojs,cheerio,26900,https://github.com/cheeriojs/cheerio
4,select2,select2,25700,https://github.com/select2/select2
5,nhn,tui.editor,16300,https://github.com/nhn/tui.editor
6,pandao,editor.md,13200,https://github.com/pandao/editor.md
7,PuerkitoBio,goquery,13000,https://github.com/PuerkitoBio/goquery
8,selectize,selectize.js,13000,https://github.com/selectize/selectize.js
9,jessepollak,card,11600,https://github.com/jessepollak/card
10,jquery,jquery-ui,11200,https://github.com/jquery/jquery-ui
11,jquery-validation,jquery-validation,10300,https://github.com/jquery-validation/jquery-validation
12,snapappointments,bootstrap-select,9800,https://github.com/snapappointments/bootstrap-select
13,fengyuanchen,cropper,7800,https://github.com/fengyuanchen/cropper
14,fancyapps,fancybox,7300,https://github.com/fancyapps/fancybox
15,AllThingsSmitty,must-watch-javascript,7000,https://github.com/AllThingsSmitty/must-watch-javascript
16,olton,Metro-UI-CSS,7000,https://github.com/olton/Metro-UI-CSS
17,bda-research,node-crawler,6500,https://github.com/bda-research/node-crawler
18,fabiospampinato,cash,6300,https://github.com/fabiospampinato/cash
19,givanz,VvvebJs,6000,https://github.com/givanz/VvvebJs
