,user,repo,star,link
0,flutter,flutter,157000,https://github.com/flutter/flutter
1,jlevy,the-art-of-command-line,140000,https://github.com/jlevy/the-art-of-command-line
2,nodejs,node,98000,https://github.com/nodejs/node
3,jaywcjlove,awesome-mac,63700,https://github.com/jaywcjlove/awesome-mac
4,atom,atom,59600,https://github.com/atom/atom
5,alacritty,alacritty,48700,https://github.com/alacritty/alacritty
6,sherlock-project,sherlock,43400,https://github.com/sherlock-project/sherlock
7,FiloSottile,mkcert,42800,https://github.com/FiloSottile/mkcert
8,vercel,hyper,41500,https://github.com/vercel/hyper
9,marktext,marktext,41500,https://github.com/marktext/marktext
10,lencx,ChatGPT,41300,https://github.com/lencx/ChatGPT
11,PowerShell,PowerShell,40900,https://github.com/PowerShell/PowerShell
12,agalwood,Motrix,40200,https://github.com/agalwood/Motrix
13,GitSquared,edex-ui,38400,https://github.com/GitSquared/edex-ui
14,Homebrew,brew,37100,https://github.com/Homebrew/brew
15,serhii-londar,open-source-mac-os-apps,36900,https://github.com/serhii-londar/open-source-mac-os-apps
16,iina,iina,34500,https://github.com/iina/iina
17,nativefier,nativefier,34300,https://github.com/nativefier/nativefier
18,shadowsocks,ShadowsocksX-NG,31700,https://github.com/shadowsocks/ShadowsocksX-NG
19,sickcodes,Docker-OSX,31600,https://github.com/sickcodes/Docker-OSX
