,user,repo,star,link
0,goldbergyoni,nodebestpractices,93000,https://github.com/goldbergyoni/nodebestpractices
1,oven-sh,bun,62800,https://github.com/oven-sh/bun
2,meteor,meteor,43700,https://github.com/meteor/meteor
3,yarnpkg,yarn,41300,https://github.com/yarnpkg/yarn
4,lerna,lerna,34900,https://github.com/lerna/lerna
5,pnpm,pnpm,25500,https://github.com/pnpm/pnpm
6,verdaccio,verdaccio,15300,https://github.com/verdaccio/verdaccio
7,renovatebot,renovate,13400,https://github.com/renovatebot/renovate
8,jaredpalmer,tsdx,11000,https://github.com/jaredpalmer/tsdx
9,astrit,css.gg,9300,https://github.com/astrit/css.gg
10,apify,crawlee,9100,https://github.com/apify/crawlee
11,raineorshine,npm-check-updates,8600,https://github.com/raineorshine/npm-check-updates
12,miniMAC,magic,8200,https://github.com/miniMAC/magic
13,jaywcjlove,reference,7700,https://github.com/jaywcjlove/reference
14,npm,cli,7500,https://github.com/npm/cli
15,voidcosmos,npkill,7400,https://github.com/voidcosmos/npkill
16,honojs,hono,7400,https://github.com/honojs/hono
17,sindresorhus,np,7200,https://github.com/sindresorhus/np
18,release-it,release-it,7000,https://github.com/release-it/release-it
19,tsparticles,tsparticles,5800,https://github.com/tsparticles/tsparticles
