,user,repo,star,link
0,microsoft,ML-For-Beginners,53600,https://github.com/microsoft/ML-For-Beginners
1,Avik-Jain,100-Days-Of-ML-Code,41900,https://github.com/Avik-Jain/100-Days-Of-ML-Code
2,jakevdp,PythonDataScienceHandbook,39600,https://github.com/jakevdp/PythonDataScienceHandbook
3,apachecn,ailearning,36500,https://github.com/apachecn/ailearning
4,donnemartin,data-science-ipython-notebooks,25600,https://github.com/donnemartin/data-science-ipython-notebooks
5,ageron,handson-ml,25000,https://github.com/ageron/handson-ml
6,onnx,onnx,15600,https://github.com/onnx/onnx
7,ml-tooling,best-of-ml-python,14500,https://github.com/ml-tooling/best-of-ml-python
8,virgili0,Virgilio,13500,https://github.com/virgili0/Virgilio
9,rasbt,python-machine-learning-book,12000,https://github.com/rasbt/python-machine-learning-book
10,dask,dask,11400,https://github.com/dask/dask
11,microsoft,onnxruntime,10500,https://github.com/microsoft/onnxruntime
12,EpistasisLab,tpot,9200,https://github.com/EpistasisLab/tpot
13,Yorko,mlcourse.ai,9000,https://github.com/Yorko/mlcourse.ai
14,ljpzzz,machinelearning,7800,https://github.com/ljpzzz/machinelearning
15,automl,auto-sklearn,7100,https://github.com/automl/auto-sklearn
16,rasbt,python-machine-learning-book-2nd-edition,7000,https://github.com/rasbt/python-machine-learning-book-2nd-edition
17,sktime,sktime,6800,https://github.com/sktime/sktime
18,alteryx,featuretools,6800,https://github.com/alteryx/featuretools
19,autogluon,autogluon,6200,https://github.com/autogluon/autogluon
